cod_nat_azi;lib_azi;lib_bassin_risque;list_risques;cod_commune;lib_commune;dat_program_deb;dat_program_fin;dat_etu_deb;dat_etu_fin;dat_info_deb;dat_info_fin;dat_realisation;dat_diffusion;dat_pub_net;dat_maj
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01007;Ambronay;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01047;Blyes;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01088;Charnoz-sur-Ain;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01092;Châtillon-la-Palud;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01099;Chazey-sur-Ain;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01199;Jujurieux;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01224;Loyettes;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01244;Meximieux;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01273;Neuville-sur-Ain;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
01DDT19880002;Atlas des zones inondables de l'Ain;L'Ain;Inondation ,Risque naturel;01303;Poncin;1988-02-29 01:00:00;1988-02-29 01:00:00;;;;;;1988-02-29 01:00:00;;2010-05-21 02:00:00
