cod_nat_pprm;lib_pprm;lib_bassin_risques;num_risque;lib_risque;cod_commune;lib_commune;dat_program_deb;dat_program_fin;dat_montage_deb;dat_montage_fin;dat_prescription;dat_deprescription;dat_concertation_deb;dat_concertation_fin;dat_consultation_deb;dat_consultation_fin;dat_mise_a_enquete_deb;dat_mise_a_enquete_fin;dat_approbation;dat_annulation;dat_annexion_plu;dat_modification;dat_abrog;etat_revision;dat_maj
03DDT20120001;PPR Miniers;"";254;Mouvements de terrains miniers;03027;Bézenet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";256;Effondrements localisés;03027;Bézenet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";257;Affaissements progressifs;03027;Bézenet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";293;Tassements;03027;Bézenet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";254;Mouvements de terrains miniers;03104;Doyet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";256;Effondrements localisés;03104;Doyet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";257;Affaissements progressifs;03104;Doyet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";293;Tassements;03104;Doyet;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";254;Mouvements de terrains miniers;03189;Montvicq;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";256;Effondrements localisés;03189;Montvicq;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";257;Affaissements progressifs;03189;Montvicq;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
03DDT20120001;PPR Miniers;"";293;Tassements;03189;Montvicq;;;;;2012-01-23 00:00:00;;;;;;;;2016-10-03 00:00:00;;;;;f;2017-11-30 00:00:00
07DDT20140021;PRIVAS/VEYRAS PPR Minier;"";256;Effondrements localisés;07186;Privas;;;;;2014-12-12 00:00:00;;;;;;2016-11-09 00:00:00;2016-12-09 00:00:00;2017-05-22 00:00:00;;;;;f;2017-06-01 00:00:00
07DDT20140021;PRIVAS/VEYRAS PPR Minier;"";290;Ecroulements rocheux;07186;Privas;;;;;2014-12-12 00:00:00;;;;;;2016-11-09 00:00:00;2016-12-09 00:00:00;2017-05-22 00:00:00;;;;;f;2017-06-01 00:00:00
