cod_nat_pprt;lib_pprt;lib_bassin_risques;num_risque;lib_risque;cod_commune;lib_commune;dat_css_clic;dat_mise_a_enquete_deb;dat_mise_a_enquete_fin;dat_prescription;dat_deprescription;dat_approbation;dat_conv;dat_modification;dat_annulation;dat_annexion_plu;dat_abrog;etat_revision;dat_maj
01DDT20110004;01 PPRt KEM ONE;Balan ;215;Risque industriel;01027;Balan;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;224;Risque technologique;01027;Balan;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;236;Effet thermique;01027;Balan;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;237;Effet de surpression;01027;Balan;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;215;Risque industriel;01142;Dagneux;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;224;Risque technologique;01142;Dagneux;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;236;Effet thermique;01142;Dagneux;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DDT20110004;01 PPRt KEM ONE;Balan ;237;Effet de surpression;01142;Dagneux;2009-04-28 02:00:00;2012-03-11 01:00:00;2012-04-11 02:00:00;2010-01-26 01:00:00;;2012-05-29 02:00:00;;;;;;f;2017-05-10 02:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;215;Risque industriel;01047;Blyes;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;224;Risque technologique;01047;Blyes;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;236;Effet thermique;01047;Blyes;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;237;Effet de surpression;01047;Blyes;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;238;Effet toxique;01047;Blyes;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;215;Risque industriel;01390;Saint-Vulbas;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;224;Risque technologique;01390;Saint-Vulbas;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;236;Effet thermique;01390;Saint-Vulbas;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;237;Effet de surpression;01390;Saint-Vulbas;2011-11-29 01:00:00;;;2017-11-30 01:00:00;;2019-05-12 02:00:00;;;;;;f;2021-03-03 01:00:00
