Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,target
18702,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1351.0,4,2012.0,0.0,   2,65440,0
3877,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1972.0,2,1980.0,0.0,   .,14341,1
4942,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1630.0,4,,0.0,   .,75109,0
13428,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,532.0,3,,0.0,   .,92004,0
17137,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1050.0,2,1972.0,0.0,   4,59340,0
7580,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2039.0,2,1960.0,0.0,   .,13206,1
11501,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750.0,1,1960.0,0.0,   .,33015,0
9102,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570.0,3,,0.0,   .,59350,0
11999,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,835.0,1,1980.0,0.0,   .,88383,0
9772,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1015.0,2,1972.0,0.3,   3,83061,0
8043,2012,"0,081967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,752.0,3,,0.0,   .,59599,0
19571,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1395.0,1,1960.0,0.6,   4,10387,0
5907,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,2,1960.0,0.0,   .,34324,0
7226,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,2,1980.0,0.0,   .,67389,0
10850,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,270.0,4,1960.0,0.0,   .,06083,0
14454,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,2011.0,V,   .,,0
6189,2012,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,300.0,1,1961.0,0.0,   3,74085,0
5214,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,810.0,2,1930.0,0.0,   3,34172,0
1887,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4035.0,2,1980.0,0.0,   .,34032,1
14852,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,402.0,2,1960.0,0.0,   .,13204,0
12901,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1614.0,1,1988.0,0.0,   .,84137,0
